City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,kara-balta,42.8142,73.8481,23.29,56,100,8.76,KG,1720617479
338,chak five hundred seventy-five,31.55,73.8333,42.28,24,93,2.06,PK,1720617479
339,nouadhibou,20.931,-17.0347,29.99,42,3,10.8,MR,1720617480
340,basoko,1.2391,23.616,31.86,47,56,0.59,CD,1720617480
341,tongouson,5.0214,120.1328,27.57,76,99,1.52,PH,1720617480
342,tongging,2.8969,98.5262,17.11,93,100,2.17,ID,1720617480
343,tindouf,27.6711,-8.1474,47.25,4,0,5.66,DZ,1720617480
344,kununurra,-15.7667,128.7333,20.99,64,23,0.0,AU,1720617480
345,sisimiut,66.9395,-53.6735,6.36,78,100,1.59,GL,1720617481
346,cobram,-35.9167,145.65,6.13,74,67,2.75,AU,1720617481
347,aleg,17.0481,-13.9209,35.7,33,100,6.58,MR,1720617481
348,magistral'nyy,56.1725,107.4458,26.3,54,100,2.63,RU,1720617481
349,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,0.0,RU,1720617481
350,sarmiento,-45.5882,-69.07,-0.3,71,100,1.98,AR,1720617481
351,chibougamau,49.9168,-74.3659,18.79,59,0,3.09,CA,1720617438
352,mandalgovi,45.7625,106.2708,18.07,74,100,9.92,MN,1720617482
353,quellon,-43.1167,-73.6167,7.39,87,100,2.52,CL,1720617482
354,sawang wirawong,15.2416,105.0922,28.9,70,19,3.46,TH,1720617482
355,sabancuy,18.9667,-91.1833,24.69,90,100,3.09,MX,1720617483
356,xilin hot,43.9667,116.0333,19.61,67,19,2.68,CN,1720617483
357,fortuna,40.5982,-124.1573,14.08,97,100,1.54,US,1720617483
358,aghajari,30.7006,49.8315,48.12,8,0,12.86,IR,1720617483
359,conduaga,8.862,117.4893,26.48,86,100,1.7,PH,1720617483
360,colonia,50.9333,6.95,27.55,77,40,3.6,DE,1720617246
361,new milton,50.756,-1.6658,21.32,73,40,8.75,GB,1720617401
362,ojinaga,29.5667,-104.4167,24.53,73,0,4.12,MX,1720617484
